entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,codigo_pci,id_del_proceso,referencia_del_proceso,ppi,id_del_portafolio,nombre_del_procedimiento,descripci_n_del_procedimiento,fase,fecha_de_publicacion_del,fecha_de_ultima_publicaci,fecha_de_publicacion_fase_3,precio_base,modalidad_de_contratacion,justificaci_n_modalidad_de,duracion,unidad_de_duracion,fecha_de_recepcion_de,fecha_de_apertura_de_respuesta,fecha_de_apertura_efectiva,ciudad_de_la_unidad_de,nombre_de_la_unidad_de,proveedores_invitados,proveedores_con_invitacion,visualizaciones_del,proveedores_que_manifestaron,respuestas_al_procedimiento,respuestas_externas,conteo_de_respuestas_a_ofertas,proveedores_unicos_con,numero_de_lotes,estado_del_procedimiento,id_estado_del_procedimiento,adjudicado,id_adjudicacion,codigoproveedor,departamento_proveedor,ciudad_proveedor,fecha_adjudicacion,valor_total_adjudicacion,nombre_del_adjudicador,nombre_del_proveedor,nit_del_proveedor_adjudicado,codigo_principal_de_categoria,estado_de_apertura_del_proceso,tipo_de_contrato,subtipo_de_contrato,categorias_adicionales,urlproceso,codigo_entidad,estado_resumen
INSTITUTO DE DESARROLLO URBANO,899999081,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.1496464,IDU-CMA-SGI-009-2020 (Presentación de oferta),701946188,CO1.BDOS.1261350,INTERVENTORIA CONSTRUCCION PARA LA ADECUACION AL SISTEMA TRANSMILENIO DE LA TRONCAL AVENIDA CIUDAD DE CALI (Presentación de oferta),INTERVENTORIA INTEGRAL PARA LA CONSTRUCCION PARA LA ADECUACION AL SISTEMA TRANSMILENIO DE LA TRONCAL AVENIDA CIUDAD DE CALI TRAMO 1 - ENTRE LA AVENIDA CIRCUNVALAR DEL SUR Y LA AVENIDA MANUEL CEPEDA VARGAS Y OBRAS COMPLEMENTARIAS EN BOGOTÁ D.C.,Presentación de oferta,2020-09-15,2020-09-15,2020-09-15,51675328137,Concurso de méritos abierto,Ley 1150 de 2007,93,Mes(es),2020-10-05,2020-11-13,2020-11-25,No Aplica,Subdirección General de Infraestructura,0,0,273,0,41,0,0,41,4,Seleccionado,70,Si,CO1.AWD.866928,700797178,Cundinamarca,No Definido,2020-11-27,13469113435,DTPS21,MAB INGENIERIA DE VALOR S.A.,900139110,V1.81102200,Cerrado,Interventoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1450650'},701946188,Adjudicado
INSTITUTO DE DESARROLLO URBANO,899999081,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.1496464,IDU-CMA-SGI-009-2020 (Presentación de oferta),701946188,CO1.BDOS.1261350,INTERVENTORIA CONSTRUCCION PARA LA ADECUACION AL SISTEMA TRANSMILENIO DE LA TRONCAL AVENIDA CIUDAD DE CALI (Presentación de oferta),INTERVENTORIA INTEGRAL PARA LA CONSTRUCCION PARA LA ADECUACION AL SISTEMA TRANSMILENIO DE LA TRONCAL AVENIDA CIUDAD DE CALI TRAMO 1 - ENTRE LA AVENIDA CIRCUNVALAR DEL SUR Y LA AVENIDA MANUEL CEPEDA VARGAS Y OBRAS COMPLEMENTARIAS EN BOGOTÁ D.C.,Presentación de oferta,2020-09-15,2020-09-15,2020-09-15,51675328137,Concurso de méritos abierto,Ley 1150 de 2007,93,Mes(es),2020-10-05,2020-11-13,2020-11-25,No Aplica,Subdirección General de Infraestructura,0,0,273,0,41,0,0,41,4,Seleccionado,70,Si,CO1.AWD.920406,711267385,No Definido,Bogotá,2020-12-21,11551228902,DTPS 18,CONSORCIO HLS TRANSMILENIO,No Definido,V1.81102200,Cerrado,Interventoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1450650'},701946188,Adjudicado
INSTITUTO DE DESARROLLO URBANO,899999081,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.1407788,IDU-ID-SGGC-PSP-1113-SGI-2020,701946188,CO1.BDOS.1366772,PRESTACION DE SERVICIOS PROFESIONALES Y/O APOYO A LA GESTIÓN,"Prestar servicios profesionales a la Subdirección General de Infraestructura, realizando el seguimiento y acompañamiento técnico en los asuntos relacionados con la Secretaria de Movilidad Distrital, en especial en la revisión para aprobación delos planes de manejo de tránsito, diseño de señalización y redes semafóricas en los proyectos requeridos por el IDU.",Presentación de oferta,2020-08-01,2020-08-01,2020-08-01,49900000,Contratación directa,Servicios profesionales y apoyo a la gestión,150,día(s),,,,No Aplica,CONTRATOS DE PRESTACIÓN DE SERVICIOS Y/O APOYO A LA GESTIÓN,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,705463685,Cundinamarca,Madrid,,0,No Adjudicado,Oscar Javier Cañas Bernal,80577499,V1.81102200,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1368738'},701946188,Adjudicado
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.4723961,CMA-DTE-SPI-032-2023  (Presentación de oferta),700676059,CO1.BDOS.4519383,INTERVENTORÍA PARA LOS ESTUDIOS Y DISEÑOS PARA EL MEJORAMIENTO DEL SECTOR PEAJE NARANJAL - LIMONCITOS - MONTERREDONDO PR 50 +100 - PR 54 + 800 VIA BOGOTA-VILLAVICENCIO  (Presentación de oferta),INTERVENTORÍA PARA LOS ESTUDIOS Y DISEÑOS PARA EL MEJORAMIENTO DEL SECTOR PEAJE NARANJAL - LIMONCITOS - MONTERREDONDO PR 50 +100 - PR 54 + 800 VIA BOGOTA-VILLAVICENCIO,Presentación de oferta,2023-06-23,2023-06-23,2023-06-23,288080674,Concurso de méritos abierto,Ley 1150 de 2007,5,Mes(es),2023-07-10,2023-07-10,2023-07-10,Bogotá,Subdirección de Planificación de Infraestructura,0,0,74,0,16,0,0,16,0,Seleccionado,70,Si,CO1.AWD.1678159,722575081,No Definido,Bogotá,2023-08-10,287770322,CINDY KATHERINE AGAMEZ BENITEZ,ut estudios villavicencio,No Definido,V1.81102200,Cerrado,Consultoría,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4627265'},700676059,Adjudicado
DEPARTAMENTO NACIONAL DE PLANEACIÓN,899999011,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.2056893,CM-002-21 (Presentación de oferta),700220049,CO1.BDOS.1971631,ESTRUCTURA INSTITUCIONAL DEL MODO FERREO (Presentación de oferta),"Desarrollar de manera integral la estructura institucional del modo férreo, incluyendo las capacidades técnicas, legales, administrativas, presupuestales y financieras requeridas en el corto, mediano y largo plazo.",Presentación de oferta,2021-05-27,2021-05-27,2021-05-27,799416353,Concurso de méritos abierto,Ley 1150 de 2007,5,Mes(es),2021-06-10,2021-06-10,,Bogotá,SUBDIRECCIÓN DE CONTRATACIÓN,0,0,48,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.81102200,Cerrado,Consultoría,No Definido,V180101600,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2001402'},700220049,Presentación de oferta
MUNICIPIO DE FLORENCIA,800095728,Caquetá,Florencia,Territorial,Descentralizada,CO1.REQ.2041956,CMOAJC 003-2021 (Presentación de oferta),704035211,CO1.BDOS.1963857,REALIZAR LA CONSULTORIA PARA LA ACTUALIZACIÓN DEL PLAN MAESTRO DE MOVILIDAD DEL MUNICIPIO DE FLORENCIA; CAQUETÁ (Presentación de oferta),"REALIZAR LA CONSULTORIA PARA LA ACTUALIZACIÓN DEL PLAN MAESTRO DE MOVILIDAD DEL MUNICIPIO DE FLORENCIA, CAQUETÁ",Presentación de oferta,2021-05-20,2021-05-20,2021-05-20,250000000,Concurso de méritos abierto,Ley 1150 de 2007,4,Mes(es),2021-05-26,2021-06-09,2021-06-09,Florencia,G.I.T. Contratación,0,0,24,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1034107,705689446,Valle del Cauca,Cali,2021-06-10,249496530,MONICA JULIETH ARIAS GARCIA,GRUPO VIAL S.A.S,900434069,V1.81102200,Cerrado,Consultoría,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1985567'},704035211,Adjudicado
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.2426823,CMA-DO-SRT-168-2021 (Presentación de oferta),700676059,CO1.BDOS.2325320,INTERVENTORIA - TECNICA Y ADMINISTRATIVA PARA EL MEJORAMIENTO; MANTENIMIENTO Y REHABILITACIÓN DE CORREDORES RURALES MEDIANTE LA CONSTRUCCCIÓN DE PLACAHUELLAS EN DIFERENTES SECTORES DE LAS VÍAS QUE PER,"INTERVENTORIA - TECNICA Y ADMINISTRATIVA PARA EL MEJORAMIENTO, MANTENIMIENTO Y REHABILITACIÓN DE CORREDORES RURALES MEDIANTE LA CONSTRUCCCIÓN DE PLACAHUELLAS EN DIFERENTES SECTORES DE LAS VÍAS QUE PERTENECEN A LA VEREDA SAN JUANITO DEL MUNICIPIO DE ACACIAS META",Presentación de oferta,2021-11-04,2021-11-04,2021-11-04,250000000,Concurso de méritos abierto,Ley 1150 de 2007,0,Mes(es),2021-11-17,2021-12-15,2021-12-15,Bogotá,Sudbirección Red Terciaria y Ferrea,0,0,162,0,71,0,0,71,0,Seleccionado,70,Si,CO1.AWD.1195021,700017023,Huila,Neiva,2021-12-17,249961229,Juan David Cardenas Cabeza,Carlos Palta,10537995,V1.81102200,Cerrado,Interventoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2364811'},700676059,Adjudicado
INSTITUTO DE DESARROLLO URBANO,899999081,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.1533722,IDU-CMA-DTM-026-2020 (Presentación de oferta),701946188,CO1.BDOS.1466652,INTERVENTORÍA A LA EJECUCIÓN DE LAS OBRAS Y ACTIVIDADES NECESARIAS PARA LA CONSERVACIÓN DE LA MALLA VIAL ARTERIAL TRONCAL; EN LA CIUDAD DE BOGOTÁ D.C. GRUPOS 1 Y 2. (Presentación de oferta),"INTERVENTORÍA A LA EJECUCIÓN DE LAS OBRAS Y ACTIVIDADES NECESARIAS PARA LA CONSERVACIÓN DE LA MALLA VIAL ARTERIAL TRONCAL, EN LA CIUDAD DE BOGOTÁ D.C. GRUPOS 1 Y 2.",Presentación de oferta,2020-10-05,2020-10-05,2020-10-05,2300848354,Concurso de méritos abierto,Ley 1150 de 2007,9,Mes(es),2020-10-16,2020-11-24,2020-11-24,No Aplica,Dirección Técnica de Mantenimiento,0,0,240,0,79,0,0,79,2,Seleccionado,70,Si,CO1.AWD.884544,708010095,No Definido,Bogotá,2020-11-26,1114300817,JOHN JAIRO GAVIRIA GACHA,CONSORCIO UNIDOS,No Definido,V1.81102200,Cerrado,Interventoría,No Definido,V181101500,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1486930'},701946188,Adjudicado
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.6023837,IP-DT-CUN-006-2024,700676059,CO1.BDOS.5906022,ADMINISTRACION VIAL DE LA RUTA 5008  SECTOR HONDA   VILLETA DEL PR 5+8500 AL PR 64+0000; DEPARTAMENTO DE CUNDINAMARCA,"ADMINISTRACION VIAL DE LA RUTA 5008, SECTOR HONDA  VILLETA DEL PR 5+8500 AL PR 64+0000, DEPARTAMENTO DE CUNDINAMARCA",Presentación de oferta,2024-04-01,2024-04-01,2024-04-01,130000000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,66,día(s),2024-04-04,2024-04-04,2024-04-04,Bogotá,Dirección Territorial Cundinamarca,0,0,45,0,9,0,0,9,0,Seleccionado,70,Si,CO1.AWD.1893507,703138198,Cesar,Valledupar,2024-04-11,89029846,Gustavo Alfonso Cepeda Ocampo,NICOLAS REDONDO MOLINA,12719145,V1.81102200,Cerrado,Otro,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5912967'},700676059,Adjudicado
ALCALDIA LOCAL DE ANTONIO NARIÑO,899999061,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.2486440,FDLAN-CMA-001-2021 (63764) (Presentación de oferta),702259441,CO1.BDOS.2391440,INTERVENTORÍA TÉCNICA; ADMINISTRATIVA; JURÍDICA (LEGAL); FINANCIERA (CONTABLE); AMBIENTAL; SOCIAL Y SST  (Presentación de oferta),"REALIZAR LA INTERVENTORÍA TÉCNICA, ADMINISTRATIVA, JURÍDICA (LEGAL), FINANCIERA CONTABLE, AMBIENTAL, SOCIAL Y SST AL CONTRATO QUE TIENE POR OBJETO: REALIZAR A TRAVÉS DEL SISTEMA DE PRECIOS UNITARIOS FIJOS SIN FÓRMULA DE REAJUSTE LAS ACTIVIDADES DE CONSERVACIÓN EN LAS QUE SE INCLUYEN EL MANTENIMIENTO, BACHEO, PARCHEO, REHABILITACIÓN O RECONSTRUCCIÓN DE LA MALLA VIAL Y DEL ESPACIO PÚBLICO DE LA LOCALIDAD ANTONIO NARIÑO",Presentación de oferta,2021-11-26,2021-11-26,2021-11-26,183608384,Concurso de méritos abierto,Ley 1150 de 2007,6,Mes(es),2021-12-09,2021-12-09,2021-12-09,Bogotá,CONTRATACIÓN FDLAN,0,0,108,0,28,0,0,28,0,Seleccionado,70,Si,CO1.AWD.1202414,701404394,Distrito Capital de Bogotá,No Definido,2022-01-07,183540840,OMAIRA HEREDIA CRUZ,CB INGENIEROS SAS,860509943,V1.81102200,Cerrado,Interventoría,No Definido,"V180101600, V181101500",{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2422570'},702259441,Adjudicado
MUNICIPIO DE SEGOVIA,890981391,Antioquia,No Definido,Territorial,Descentralizada,CO1.REQ.2121030,SM-CM-0008-2021 (Presentación de oferta),702758418,CO1.BDOS.2047344,ELABORACIÓN DE EL PLAN DE MOVILIDAD SOSTENIBLE Y SEGURA EN CUMPLIMIENTO DE LA RESOLUCIÓN 20203040015885; en concordancia con el Plan de Desarrollo Municipal 'SOMOS SEGOVIA; GENERANDO CONFIANZA 2020 ,"ELABORACIÓN DE EL PLAN DE MOVILIDAD SOSTENIBLE Y SEGURA EN CUMPLIMIENTO DE LA RESOLUCIÓN 20203040015885, en concordancia con el Plan de Desarrollo Municipal 'SOMOS SEGOVIA, GENERANDO CONFIANZA 2020  2023",Presentación de oferta,2021-06-30,2021-06-30,2021-06-30,214905320,Concurso de méritos abierto,Ley 1150 de 2007,5,Mes(es),2021-07-09,2021-07-09,2021-07-22,Segovia,SECRETARIA DE MOVILIDAD,0,0,24,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1070712,705488203,Antioquia,Envigado,2021-07-23,214905320,XIOMARA ISABEL ALVAREZ LEZCANO,GEOTURISMO COLOMBIA S.A.S,811040568,V1.81102200,Cerrado,Consultoría,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2063729'},702758418,Adjudicado
MUNICIPIO DE FLORENCIA,800095728,Caquetá,Florencia,Territorial,Descentralizada,CO1.REQ.1577345,CMOAJC 004-2020 (Presentación de oferta),704035211,CO1.BDOS.1512603,REALIZAR LA CONSULTORIA PARA LA ACTUALIZACIÓN DEL PLAN MAESTRO DE MOVILIDAD DEL MUNICIPIO DE FLORENCIA    CAQUETÁ (Presentación de oferta),REALIZAR LA CONSULTORIA PARA LA ACTUALIZACIÓN DEL PLAN MAESTRO DE MOVILIDAD DEL MUNICIPIO DE FLORENCIA    CAQUETÁ,Presentación de oferta,2020-10-29,2020-10-29,2020-10-29,200000000,Concurso de méritos abierto,Ley 1150 de 2007,45,día(s),2020-11-04,2020-11-04,,Florencia,G.I.T. Contratación,0,0,17,0,0,0,0,0,0,Cancelado,100,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.81102201,Cerrado,Consultoría,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1528818'},704035211,Presentación de oferta
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.193101,IP-OAP-006-2017,700676059,CO1.BDOS.189101,ELABORAR UN DIAGNÓSTICO QUE ORIENTE LA FORMULACIÓN DE UN MANUAL TENDIENTE A NORMALIZAR EL BUEN USO Y MANEJO TÉCNICO AMBIENTAL DE LOS PRODUCTOS Y/O SERVICIOS ENTREGADOS A LOS USUARIOS DEL INVIAS,ELABORAR UN DIAGNÓSTICO QUE ORIENTE LA FORMULACIÓN DE UN MANUAL TENDIENTE A NORMALIZAR EL BUEN USO Y MANEJO TÉCNICO AMBIENTAL DE LOS PRODUCTOS Y/O SERVICIOS ENTREGADOS A LOS USUARIOS DEL INVIAS,Presentación de oferta,2017-07-19,2017-07-19,2017-07-18,0,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,3,Mes(es),2017-07-25,2017-07-26,2017-07-26,Bogotá,Dirección de Contratación,0,0,5,0,2,0,0,2,0,Seleccionado,70,Si,CO1.AWD.154039,702266271,Distrito Capital de Bogotá,No Definido,,33000000,Leonardo Rodolfo Alvarez Velez,Kriteria SAS,901057949,V1.81102201,Cerrado,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.187504'},700676059,Adjudicado
INSTITUTO DE DESARROLLO URBANO,899999081,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.1903044,IDU-ID-SGGC-PSP-601-DTP-2021,701946188,CO1.BDOS.1851371,Prestación de servicios,Prestar servicios profesionales como especialista en el componente de Geometría Vial y apoyar la Supervisión de proyectos y contratos de la Dirección Técnica de Proyectos que le sean asignados.,Presentación de oferta,2021-03-25,2021-03-25,2021-03-25,78120000,Contratación directa,Servicios profesionales y apoyo a la gestión,9,Mes(es),,,,No Aplica,CONTRATOS DE PRESTACIÓN DE SERVICIOS Y/O APOYO A LA GESTIÓN,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,707770236,Boyacá,Tunja,,0,No Adjudicado,GERMAN ANDRES GARCIA GRANADOS,7187105,V1.81102201,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1871918'},701946188,Adjudicado
INSTITUTO DE DESARROLLO URBANO,899999081,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.3069642,IDU-ID-SGGC-PSP-509-DTP-2022,701946188,CO1.BDOS.2987438,PRESTACION DE SERVICIOS DE SERVICIOS PROFESIONALES,"Prestar servicios profesionales como especialista, para apoyar las labores a cargo del grupo de Diseño Geométrico de proyectos y contratos de la Dirección Técnica de Proyectos.",Presentación de oferta,2022-06-24,2022-06-24,2022-06-24,60760000,Contratación directa,Servicios profesionales y apoyo a la gestión,7,Mes(es),,,,No Aplica,CONTRATOS DE PRESTACIÓN DE SERVICIOS Y/O APOYO A LA GESTIÓN,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,705493443,Distrito Capital de Bogotá,No Definido,,0,No Adjudicado,Daniel Alberto Alcántar Rodríguez,1049606534,V1.81102201,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2993442'},701946188,Adjudicado
INSTITUTO DE DESARROLLO URBANO,899999081,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.1541637,IDU-ID-SGGC-PSP-1288-DTP-2020,701946188,CO1.BDOS.1496653,CONTRATOS DE PRESTACIÓN DE SERVICIOS Y/O APOYO A LA GESTIÓN,Prestar servicios profesionales como especialista en el componente de Geometría Vial y apoyar la Supervisión de proyectos y contratos de la Dirección Técnica de Proyectos que le sean asignados.,Presentación de oferta,2020-10-19,2020-10-19,2020-10-19,43400000,Contratación directa,Servicios profesionales y apoyo a la gestión,5,Mes(es),,,,No Aplica,CONTRATOS DE PRESTACIÓN DE SERVICIOS Y/O APOYO A LA GESTIÓN,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,705482693,Distrito Capital de Bogotá,Bogotá,,0,No Adjudicado,Elbert Hernan Suarez Jimenez,7187852,V1.81102201,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1509137'},701946188,Adjudicado
INSTITUTO DE DESARROLLO URBANO,899999081,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.4037705,IDU-ID-SGGC-PSP-347-DTP-2023,701946188,CO1.BDOS.3941971,Contrato de Prestación de Servicios Profesionales y de Apoyo a la Gestión,"Prestar servicios profesionales como especialista, para apoyar las labores a cargo del grupo de Diseño Geométrico de proyectos y contratos de la Dirección Técnica de Proyectos del sistema Transmilenio.",Presentación de oferta,2023-02-22,2023-02-22,2023-02-22,107280000,Contratación directa,Servicios profesionales y apoyo a la gestión,1,Año(s),,,,No Aplica,Dirección Técnica de Proyectos,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,705452985,Distrito Capital de Bogotá,No Definido,,0,No Adjudicado,Elias Ricardo Leal Melo,1049606067,V1.81102201,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4061527'},701946188,Adjudicado
INSTITUTO DE DESARROLLO URBANO,899999081,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.3088513,IDU-ID-SGGC-PSP-809-DTP-2022,701946188,CO1.BDOS.3006010,PRESTACIÓN DE SERVICIOS PROFESIONALES,"Prestar servicios profesionales como especialista, para apoyar las labores a cargo del grupo de Diseño Geométrico de proyectos y contratos de la Dirección Técnica de Proyectos.",Presentación de oferta,2022-07-05,2022-07-05,2022-07-05,60760000,Contratación directa,Servicios profesionales y apoyo a la gestión,7,Mes(es),,,,No Aplica,CONTRATOS DE PRESTACIÓN DE SERVICIOS Y/O APOYO A LA GESTIÓN,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,707770236,Boyacá,Tunja,,0,No Adjudicado,GERMAN ANDRES GARCIA GRANADOS,7187105,V1.81102201,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3010241'},701946188,Adjudicado
ALCALDIA MUNICIPAL DE BUGA,891380033,Valle del Cauca,Guadalajara De Buga,Territorial,Centralizada,CO1.REQ.4998107,SDM-2100-1383-2023,704246388,CO1.BDOS.4888892,INSTALACIÓN DE SEMÁFOROS,OBRAS DE AMPLIACIÓN E IMPLEMENTACIÓN DE LA RED SEMAFÓRICA CON SISTEMA DE SEMÁFOROS AUTOSOSTENIBLE Y PRODUCTOR DE ENERGÍA QUE OPERA CON ENERGÍA SOLAR PARA EL MUNICIPIO DE GUADALAJARA DE BUGA  VALLE DEL CAUCA,Presentación de oferta,2023-08-31,2023-08-31,2023-08-31,98058000,Contratación directa,No existe pluralidad de oferentes en el mercado,1,Mes(es),,,,Guadalajara De Buga,ALCALDIA MUNICIPAL DE BUGA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,700859010,Valle del Cauca,Tuluá,,0,No Adjudicado,SEMINTEL S.A.S.,900450643,V1.81102201,Abierto,Prestación de servicios,No Definido,"V143201542, V143233405, V146161504, V181112209, V181112308",{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4902104'},704246388,Adjudicado
INSTITUTO DE DESARROLLO URBANO,899999081,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.3898721,IDU-ID-SGGC-PSP-184-DTP-2023,701946188,CO1.BDOS.3803276,Contrato de Prestación de Servicios Profesionales y de Apoyo a la Gestión,"Prestar servicios profesionales como especialista, para apoyar las labores a cargo del grupo de Diseño Geométrico que hacen parte de los proyectos y contratos a cargo de la Dirección Técnica de Proyectos y articular la gestión realizada por los demás profesionales de la dependencia que intervienen en este componente",Presentación de oferta,2023-01-25,2023-01-25,2023-01-25,107835000,Contratación directa,Servicios profesionales y apoyo a la gestión,315,día(s),,,,No Aplica,Dirección Técnica de Proyectos,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,705496008,Distrito Capital de Bogotá,Bogotá,,0,No Adjudicado,CARLOS ALBERTO HERNANDEZ GALVIS,1098622891,V1.81102201,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3840992'},701946188,Adjudicado
INSTITUTO DE DESARROLLO URBANO,899999081,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.2633160,IDU-ID-SGGC-PSP-351-OCIT-2022,701946188,CO1.BDOS.2560304,CONTRATO DE PRESTACION DE SERVICIOS,Prestar servicios profesionales a la Oficina de Coordinación Interinstitucional para apoyar la Coordinación Interinstitucional y armonización con la Secretaría Distrital de Movilidad - SDM para la adecuada ejecución de los proyectos Transmilenio a cargo del IDU.,Presentación de oferta,2022-01-22,2022-01-22,2022-01-22,104160000,Contratación directa,Servicios profesionales y apoyo a la gestión,12,Mes(es),,,,Bogotá,Oficina de Coordinación Interinstitucional,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,705489433,Distrito Capital de Bogotá,No Definido,,0,No Adjudicado,YONNY DANIEL DUITAMA IGUERA,1049621293,V1.81102201,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2664031'},701946188,Adjudicado
INSTITUTO DE DESARROLLO URBANO,899999081,Distrito Capital de Bogotá,Bogotá,Territorial,Descentralizada,CO1.REQ.1420101,IDU-ID-SGGC-PSP-1141-DTP-2020,701946188,CO1.BDOS.1377937,PRESTACION DE SERVICIOS PROFESIONALES Y/O APOYO A LA GESTIÓN,Prestar servicios profesionales como especialista en el componente de Geometría Vial y apoyar la Supervisión de proyectos y contratos de la Dirección Técnica de Proyectos que le sean asignados del Sistema Transmilenio.,Presentación de oferta,2020-08-20,2020-08-20,2020-08-20,34720000,Contratación directa,Servicios profesionales y apoyo a la gestión,120,día(s),,,,No Aplica,CONTRATOS DE PRESTACIÓN DE SERVICIOS Y/O APOYO A LA GESTIÓN,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,705452985,Distrito Capital de Bogotá,No Definido,,0,No Adjudicado,Elias Ricardo Leal Melo,1049606067,V1.81102201,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1403159'},701946188,Adjudicado
